Id,ActivityDay,StepTotal
21305,3/14/2023,5179
21305,3/15/2023,2898
21305,3/16/2023,5521
21305,3/17/2023,3970
21305,3/18/2023,4291
21305,3/19/2023,6923
21305,3/20/2023,6557
21305,3/21/2023,4682
21305,3/22/2023,3814
21306,2/28/2023,7731
21306,3/1/2023,5483
21306,3/2/2023,6681
21306,3/3/2023,6604
21306,3/4/2023,6862
21306,3/5/2023,5104
21306,3/6/2023,9776
21306,3/7/2023,7430
21306,3/8/2023,6681
21306,3/9/2023,6541
21306,3/10/2023,3570
21306,3/11/2023,5745
21306,3/12/2023,6478
21306,3/13/2023,3306
21306,3/14/2023,3753
21306,3/15/2023,4538
21306,3/16/2023,5383
21306,3/17/2023,4642
21306,3/18/2023,2641
21306,3/19/2023,3518
21306,3/20/2023,8644
21306,3/21/2023,5223
21306,3/22/2023,0
21307,2/28/2023,6048
21307,3/1/2023,9341
21307,3/2/2023,7999
21307,3/3/2023,6259
21307,3/4/2023,8036
21307,3/5/2023,7284
21307,3/6/2023,4048
21307,3/7/2023,7037
21307,3/8/2023,5867
21307,3/9/2023,8603
21307,3/10/2023,8876
21307,3/11/2023,7899
21307,3/12/2023,3705
21307,3/13/2023,6962
21307,3/14/2023,5862
21307,3/15/2023,6636
21307,3/16/2023,4161
21307,3/17/2023,10424
21307,3/18/2023,3093
21307,3/19/2023,8791
21307,3/20/2023,5201
21307,3/21/2023,6302
21307,3/22/2023,3555
21308,3/1/2023,0
21308,3/2/2023,0
21308,3/3/2023,109
21308,3/4/2023,0
21308,3/5/2023,0
21308,3/6/2023,656
21308,3/7/2023,0
21308,3/8/2023,0
21308,3/9/2023,0
21308,3/10/2023,0
21311,2/28/2023,10146
21311,3/1/2023,9289
21311,3/2/2023,8544
21311,3/3/2023,11076
21311,3/4/2023,2435
21311,3/5/2023,3134
21311,3/6/2023,8886
21311,3/7/2023,9110
21311,3/8/2023,7842
21311,3/9/2023,9903
21311,3/10/2023,12981
21311,3/11/2023,69
21311,3/12/2023,0
21311,3/13/2023,0
21311,3/14/2023,0
21311,3/15/2023,0
21311,3/16/2023,0
21311,3/17/2023,0
21311,3/18/2023,0
21311,3/19/2023,0
21311,3/20/2023,0
21311,3/21/2023,8868
21311,3/22/2023,5740
21312,2/28/2023,19174
21312,3/1/2023,19505
21312,3/2/2023,17685
21312,3/3/2023,19628
21312,3/4/2023,8230
21312,3/5/2023,6296
21312,3/6/2023,15967
21312,3/7/2023,3287
21312,3/8/2023,22058
21312,3/9/2023,17920
21312,3/10/2023,20998
21312,3/11/2023,5168
21312,3/12/2023,6997
21312,3/13/2023,2523
21312,3/14/2023,6714
21312,3/15/2023,6325
21312,3/16/2023,3989
21312,3/17/2023,4054
21312,3/18/2023,2175
21312,3/19/2023,9141
21312,3/20/2023,16113
21312,3/21/2023,21895
21312,3/22/2023,6596
21313,2/28/2023,4799
21313,3/1/2023,5559
21313,3/2/2023,6176
21313,3/3/2023,5837
21313,3/4/2023,5040
21313,3/5/2023,4609
21313,3/6/2023,16848
21313,3/7/2023,19379
21313,3/8/2023,17957
21313,3/9/2023,15372
21313,3/10/2023,15576
21313,3/11/2023,3855
21313,3/12/2023,2167
21313,3/13/2023,2593
21313,3/14/2023,2805
21313,3/15/2023,4219
21313,3/16/2023,4026
21313,3/17/2023,10429
21313,3/18/2023,9129
21313,3/19/2023,3673
21313,3/20/2023,15594
21313,3/21/2023,51
21313,3/22/2023,8427
21314,2/28/2023,11033
21314,3/1/2023,10411
21314,3/2/2023,11981
21314,3/3/2023,10842
21314,3/4/2023,3573
21314,3/5/2023,2003
21314,3/6/2023,9998
21314,3/7/2023,10524
21314,3/8/2023,10555
21314,3/9/2023,9520
21314,3/10/2023,13456
21314,3/11/2023,4952
21314,3/12/2023,2530
21314,3/13/2023,3750
21314,3/14/2023,2230
21314,3/15/2023,2925
21314,3/16/2023,6147
21314,3/17/2023,4875
21314,3/18/2023,8372
21314,3/19/2023,2244
21314,3/20/2023,7914
21314,3/21/2023,2272
21314,3/22/2023,6189
21315,2/28/2023,10468
21315,3/1/2023,10712
21315,3/2/2023,9998
21315,3/3/2023,10086
21315,3/4/2023,4112
21315,3/5/2023,4586
21315,3/6/2023,10799
21315,3/7/2023,9909
21315,3/8/2023,8996
21315,3/9/2023,11128
21315,3/10/2023,9986
21315,3/11/2023,5501
21315,3/12/2023,2390
21315,3/13/2023,3881
21315,3/14/2023,2736
21315,3/15/2023,1673
21315,3/16/2023,3621
21315,3/17/2023,5393
21315,3/18/2023,2446
21315,3/19/2023,5570
21315,3/20/2023,8430
21315,3/21/2023,622
21316,2/28/2023,16596
21316,3/1/2023,18254
21316,3/2/2023,15615
21316,3/3/2023,21728
21316,3/4/2023,5178
21316,3/5/2023,4767
21316,3/6/2023,13766
21316,3/7/2023,15407
21316,3/8/2023,4211
21316,3/9/2023,6954
21316,3/10/2023,17420
21316,3/11/2023,6358
21316,3/12/2023,7416
21316,3/13/2023,7462
21316,3/14/2023,8152
21316,3/15/2023,8282
21316,3/16/2023,5630
21316,3/17/2023,5633
21316,3/18/2023,8228
21316,3/19/2023,6418
21316,3/20/2023,14300
21316,3/21/2023,13376
21316,3/22/2023,11012
21317,2/28/2023,12412
21317,3/1/2023,8561
21317,3/2/2023,7065
21317,3/3/2023,8189
21317,3/4/2023,3617
21317,3/5/2023,3239
21317,3/6/2023,10096
21317,3/7/2023,10033
21317,3/8/2023,10075
21317,3/9/2023,10252
21317,3/10/2023,11379
21317,3/11/2023,3208
21317,3/12/2023,2130
21317,3/13/2023,2676
21317,3/14/2023,4189
21317,3/15/2023,4067
21317,3/16/2023,10072
21317,3/17/2023,4696
21317,3/18/2023,2286
21317,3/19/2023,3364
21317,3/20/2023,2347
21317,3/21/2023,7654
21317,3/22/2023,5406
21318,2/28/2023,16396
21318,3/1/2023,24711
21318,3/2/2023,11369
21318,3/3/2023,21750
21318,3/4/2023,6832
21318,3/5/2023,10040
21318,3/6/2023,19553
21318,3/7/2023,14742
21318,3/8/2023,14712
21318,3/9/2023,12833
21318,3/10/2023,13948
21318,3/11/2023,8722
21318,3/12/2023,11021
21318,3/13/2023,8136
21318,3/14/2023,7627
21318,3/15/2023,17458
21318,3/16/2023,7290
21318,3/17/2023,5549
21318,3/18/2023,7961
21318,3/19/2023,13661
21318,3/20/2023,13708
21318,3/21/2023,15281
21318,3/22/2023,9980
21319,2/28/2023,9330
21319,3/1/2023,11518
21319,3/2/2023,10274
21319,3/3/2023,12011
21319,3/4/2023,5746
21319,3/5/2023,2770
21319,3/6/2023,7615
21319,3/7/2023,8488
21319,3/8/2023,10622
21319,3/9/2023,9212
21319,3/10/2023,11136
21319,3/11/2023,8410
21319,3/12/2023,3585
21319,3/13/2023,5846
21319,3/14/2023,3553
21319,3/15/2023,4579
