Id,ActivityDay,Calories
22113,2/24/2023,3640
22113,2/25/2023,2098
22113,2/26/2023,2338
22113,2/27/2023,3675
22113,2/28/2023,3038
22113,3/1/2023,3562
22113,3/2/2023,3410
22113,3/3/2023,3162
22113,3/4/2023,1996
22113,3/5/2023,1959
22113,3/6/2023,3222
22113,3/7/2023,2722
22113,3/8/2023,1721
22113,3/9/2023,3099
22113,3/10/2023,2135
22113,3/11/2023,1937
22113,3/12/2023,1802
22113,3/13/2023,2278
22113,3/14/2023,2365
22113,3/15/2023,2209
22113,3/16/2023,2119
22113,3/17/2023,1977
22113,3/18/2023,2202
22113,3/19/2023,2504
22113,3/20/2023,3435
22113,3/21/2023,3508
22113,3/22/2023,2042
22114,2/25/2023,2612
22114,2/26/2023,2351
22114,2/27/2023,3416
22114,2/28/2023,2656
22114,3/1/2023,3001
22114,3/2/2023,2935
22114,3/3/2023,2612
22114,3/4/2023,3011
22114,3/5/2023,2665
22114,3/6/2023,2602
22114,3/7/2023,2355
22114,3/8/2023,3214
22114,3/9/2023,2528
22114,3/10/2023,3161
22114,3/11/2023,2976
22114,3/12/2023,2323
22114,3/13/2023,2731
22114,3/14/2023,2238
22114,3/15/2023,2148
22114,3/16/2023,2715
22114,3/17/2023,2235
22114,3/18/2023,2773
22114,3/19/2023,2230
22114,3/20/2023,2483
22114,3/21/2023,2930
22114,3/22/2023,1546
22115,2/25/2023,1829
22115,2/26/2023,2099
22115,2/27/2023,2159
22115,2/28/2023,2507
22115,3/1/2023,2344
22115,3/2/2023,2232
22115,3/3/2023,2075
22115,3/4/2023,1857
22115,3/5/2023,2105
22115,3/6/2023,2241
22115,3/7/2023,2277
22115,3/8/2023,2083
22115,3/9/2023,2228
22115,3/10/2023,2192
22115,3/11/2023,1687
22115,3/12/2023,1709
22115,3/13/2023,1917
22115,3/14/2023,1844
22115,3/15/2023,1656
22115,3/16/2023,1790
22115,3/17/2023,1879
22115,3/18/2023,2145
22115,3/19/2023,1660
22115,3/20/2023,2203
