Id,SleepDay,DailyRMSSD,DeepRMSSD
22216,03/11/2023,22.854,19.658
22216,03/12/2023,28.238,28.586
22216,03/13/2023,21.533,11.769
22216,03/14/2023,13.85,9.99
22216,03/15/2023,23.16,22.303
22216,03/16/2023,19.276,18.145
22216,03/17/2023,23.036,15.22
22216,03/18/2023,25.488,20.025
22216,03/19/2023,15.887,14.78
22216,03/20/2023,17.357,16.359
22216,03/21/2023,17.762,15.835
22216,03/22/2023,18.764,0
22301,02/25/2023,19.307,18.051
22301,02/27/2023,16.598,16.087
22301,02/28/2023,15.102,16.153
22301,03/01/2023,17.064,11.384
22301,03/02/2023,14.284,15.634
22301,03/03/2023,14.149,12.18
22301,03/04/2023,16.077,13.622
22301,03/05/2023,17.211,16.244
22301,03/06/2023,14.696,11.357
22301,03/07/2023,16.158,11.938
22301,03/08/2023,19.794,16.732
22301,03/09/2023,17.918,24.611
22301,03/10/2023,15.854,20.665
22301,03/11/2023,11.955,8.436
22301,03/12/2023,14.651,15.44
22301,03/13/2023,11.079,9.664
22301,03/14/2023,16.781,18.747
22301,03/15/2023,15.011,14.439
22301,03/16/2023,16.907,17.174
22301,03/17/2023,14.015,11.106
22301,03/18/2023,11.852,8.833
22301,03/19/2023,16.211,10.478
22301,03/20/2023,12.703,14.553
22301,03/21/2023,14.688,12.819
22301,03/22/2023,17.215,10.556
22311,03/01/2023,16.973,15.32
22311,03/02/2023,16.2,36.438
22311,03/03/2023,17.016,20.458
22311,03/04/2023,16.282,10.9
22311,03/05/2023,19.605,22.535
22311,03/06/2023,20.557,18.23
22311,03/07/2023,19.611,18.017
22311,03/08/2023,18.27,74.623
22311,03/09/2023,29.961,26.964
22311,03/10/2023,25.731,34.686
22311,03/11/2023,24.367,25.146
22311,03/12/2023,30.299,32.349
22311,03/13/2023,26.134,27.898
22311,03/14/2023,26.299,43.359
22311,03/16/2023,16.407,14.426
22311,03/17/2023,15.378,13.766
22311,03/18/2023,19.536,18.96
22311,03/19/2023,36.595,99.266
22311,03/20/2023,27.533,41.513
22311,03/21/2023,21.972,70.055
22311,03/22/2023,26.56,32.18
22312,02/27/2023,37.138,0
22312,02/28/2023,40.12,0
22312,03/01/2023,77.694,113.197
22312,03/02/2023,35.914,25.501
22312,03/03/2023,34.62,26.64
22312,03/04/2023,46.499,47.849
22312,03/05/2023,53.271,0
22312,03/06/2023,52.604,0
22312,03/07/2023,42.755,33.522
22312,03/08/2023,44.34,30.486
22312,03/09/2023,55.902,51.996
22312,03/10/2023,57.189,61.089
22312,03/11/2023,51.624,48.01
22312,03/12/2023,35.79,38.099
22312,03/13/2023,40.854,32.623
22312,03/14/2023,44.457,0
