Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
10403,11/28/22,1,328,371
10403,11/29/22,1,405,427
10403,11/30/22,1,400,411
10403,12/2/22,1,432,460
10404,10/12/22,1,360,428
10404,10/13/22,1,412,442
10404,10/14/22,1,456,494
10404,10/15/22,1,493,568
10404,10/16/22,1,538,577
10404,10/17/22,1,500,578
10404,10/18/22,1,467,490
10404,10/19/22,1,349,352
10404,10/20/22,1,405,423
10404,10/21/22,1,489,527
10404,10/22/22,1,554,647
10404,10/23/22,1,509,581
10404,10/24/22,1,422,452
10404,10/25/22,1,415,466
10404,10/26/22,1,395,448
10404,10/27/22,1,374,403
10404,10/28/22,1,398,451
10404,10/29/22,1,521,598
10404,10/30/22,1,532,641
10404,10/31/22,1,424,463
10404,11/1/22,1,472,502
10404,11/2/22,1,451,464
10404,11/3/22,1,362,400
10404,11/4/22,1,378,438
10404,11/5/22,1,490,558
10404,11/6/22,1,485,530
10404,11/7/22,1,405,452
10404,11/8/22,1,392,450
10404,11/9/22,1,478,497
10404,11/10/22,1,428,447
10404,11/11/22,1,436,458
10404,11/12/22,1,466,537
10404,11/13/22,1,563,630
10404,11/14/22,1,443,512
10404,11/15/22,1,397,450
10404,11/16/22,2,751,820
10404,11/17/22,1,698,751
10404,11/18/22,1,469,500
10404,11/19/22,1,593,651
10404,11/20/22,1,517,599
10404,11/21/22,1,509,581
10404,11/22/22,1,576,616
10404,11/23/22,1,569,616
10404,11/24/22,1,536,573
10404,11/25/22,1,579,618
10404,11/26/22,1,587,633
10404,11/27/22,1,527,620
10404,11/28/22,1,450,481
10404,11/29/22,1,429,458
10404,11/30/22,1,484,517
10404,12/1/22,1,504,527
10404,12/2/22,1,440,470
10404,12/3/22,1,495,529
10404,12/4/22,1,534,577
10404,12/5/22,1,446,481
10404,12/6/22,1,371,400
10404,12/7/22,1,446,479
10404,12/8/22,1,432,462
10404,12/9/22,1,431,455
10404,12/10/22,1,424,469
10405,10/14/22,2,619,636
10405,10/15/22,1,318,326
10405,10/17/22,1,480,480
10405,10/18/22,1,450,450
10405,10/27/22,1,504,525
10405,11/12/22,1,118,126
10405,11/13/22,1,112,113
10405,11/16/22,1,337,354
10405,12/4/22,1,540,540
10405,12/6/22,1,593,620
10406,10/13/22,1,385,422
10406,10/14/22,1,182,205
10406,10/15/22,1,531,557
10406,10/16/22,1,245,271
10406,10/17/22,1,318,339
10406,10/18/22,1,469,508
10406,10/19/22,1,504,556
10406,10/20/22,1,403,447
10406,10/21/22,2,504,540
10406,10/22/22,1,462,473
10406,10/23/22,1,431,467
10406,10/24/22,1,451,491
10406,10/25/22,1,330,362
10406,10/26/22,1,466,496
10406,10/27/22,1,473,504
10406,10/28/22,1,407,444
10406,10/29/22,1,443,486
10406,10/30/22,1,480,498
10406,10/31/22,1,418,473
10406,11/1/22,1,515,545
10406,11/2/22,1,411,457
10406,11/3/22,1,295,329
10406,11/4/22,1,508,549
10406,11/5/22,1,333,384
10406,11/6/22,1,392,444
10406,11/7/22,1,433,482
10406,11/8/22,2,141,146
10406,11/9/22,1,108,124
10406,11/10/22,2,502,541
10406,11/11/22,1,417,484
10406,11/12/22,1,414,463
10406,11/13/22,2,393,439
10406,11/14/22,1,386,422
10406,11/15/22,1,484,520
10406,11/16/22,1,471,517
10406,11/17/22,1,375,410
10406,11/18/22,1,392,437
10406,11/19/22,1,398,418
10406,11/20/22,2,309,336
10406,11/21/22,1,486,550
10406,11/22/22,1,519,550
10406,11/23/22,1,462,500
10406,11/24/22,2,234,240
10406,11/25/22,2,324,351
10406,11/26/22,1,466,495
10406,11/27/22,1,309,323
10406,11/28/22,2,348,384
10406,11/29/22,2,589,667
10406,11/30/22,1,246,261
10406,12/1/22,1,403,446
10406,12/2/22,1,471,498
10406,12/3/22,2,297,337
10406,12/4/22,1,487,547
10406,12/5/22,1,495,563
10406,12/6/22,1,435,499
10406,12/7/22,1,421,455
10406,12/8/22,1,454,523
10406,12/9/22,2,359,378
10406,12/10/22,2,373,416
10406,12/11/22,2,313,352
10406,12/12/22,2,342,366
10406,12/13/22,1,471,511
10406,12/14/22,1,383,419
10406,12/15/22,1,456,487
10406,12/16/22,1,296,325
10406,12/17/22,2,348,380
10406,12/18/22,1,435,506
10406,12/19/22,1,549,622
10406,12/20/22,1,375,415
10406,12/21/22,1,278,306
10406,12/22/22,1,544,613
10406,12/23/22,1,417,485
10406,12/24/22,1,546,636
10406,12/25/22,2,434,462
10406,12/26/22,1,549,621
10406,12/27/22,1,450,486
10406,12/28/22,1,323,365
10406,12/29/22,1,187,201
10406,12/30/22,1,538,590
10406,12/31/22,2,519,558
10407,10/12/22,1,535,550
10407,10/13/22,1,575,609
10407,10/14/22,2,857,972
10407,10/15/22,1,525,543
10407,10/16/22,1,437,487
10407,10/17/22,1,522,534
10407,10/18/22,1,508,524
10407,10/19/22,1,527,566
10407,10/20/22,1,533,553
10407,10/21/22,1,564,577
10407,10/22/22,1,577,619
